record_id,db_id,NLQ,NLQ_colloquial,MQL,mql_signature,mql_skeleton_signature,mql_skeleton_summary,stage_count,operator_count,complexity_score
3505401,financial,"For each party_relationship_graphs document, inspect the dynamic keys under relationships.members_by_role and keep entries where dynamic key is one of ['OWNER'] under relationships.members_by_role with context bucketed by account.district.avg_salary around 9897, returning up to 10 documents.",Show up to 10 party_relationship_graphs rows where relationships.members_by_role has dynamic key is one of ['OWNER'] under relationships.members_by_role with context bucketed by account.district.avg_salary around 9897.,"db.party_relationship_graphs.aggregate([{""$addFields"":{""native_context_bucket"":{""$cond"":[{""$gte"":[""$account.district.avg_salary"",9897]},""account.district.avg_salary>= 9897"",""account.district.avg_salary< 9897""]}}},{""$project"":{""_id"":1,""native_context_bucket"":1,""native_dynamic_entries"":{""$objectToArray"":{""$ifNull"":[""$relationships.members_by_role"",{}]}}}},{""$unwind"":""$native_dynamic_entries""},{""$match"":{""native_dynamic_entries.k"":{""$in"":[""OWNER""]}}},{""$group"":{""_id"":{""context"":""$native_context_bucket"",""native_key"":""$native_dynamic_entries.k""},""document_count"":{""$sum"":1}}},{""$sort"":{""_id"":1,""document_count"":-1}},{""$limit"":10}])",sha256:f6aa93029942de34d42fe29376afa2fb5770916f20aa6aff45cf47acb779c1d2,sha256:1aad272b0242cfa3fb3cb7e060aa9f532359a89e81e6f88e7fb847ee016395ca,$addFields>$project>$unwind>$match>$group>$sort>$limit,7,13,14.85
3538219,thrombosis_prediction,"Summarize diagnosis-risk panels by risk group, thrombosis state, and sex ratio; return up to 19 patient groups.",Show up to 19 diagnosis/risk/thrombosis groups with demographic mix.,"db.diagnosis_risk_panels.aggregate([{""$project"":{""diagnosis_group"":1,""risk_groups"":{""$objectToArray"":{""$ifNull"":[""$patients_by_risk_group"",{}]}}}},{""$unwind"":""$risk_groups""},{""$unwind"":""$risk_groups.v""},{""$group"":{""_id"":{""diagnosis_group"":""$diagnosis_group"",""risk_group"":""$risk_groups.k"",""thrombosis_state"":""$risk_groups.v.thrombosis_state""},""patient_count"":{""$sum"":1},""female_count"":{""$sum"":{""$cond"":[{""$eq"":[""$risk_groups.v.sex.value"",""F""]},1,0]}},""sample_patients"":{""$addToSet"":""$risk_groups.v.patient_id""}}},{""$match"":{""patient_count"":{""$gte"":2}}},{""$project"":{""_id"":0,""diagnosis_group"":""$_id.diagnosis_group"",""risk_group"":""$_id.risk_group"",""thrombosis_state"":""$_id.thrombosis_state"",""patient_count"":1,""female_count"":1,""female_ratio"":{""$divide"":[""$female_count"",""$patient_count""]},""sample_patients"":{""$slice"":[""$sample_patients"",5]}}},{""$sort"":{""patient_count"":-1}},{""$limit"":19}])",sha256:b89803c7ae86c6afc29a9e0c28faf03ec310488f131cac80a76e3234613caf21,sha256:e668a0ba805ac0f7e3243fedfcdc35c0baaf0631b0e45fc23aa65e314a521365,$project>$unwind>$unwind>$group>$match>$project>$sort>$limit,8,15,17.8
3558020,california_schools,Find charter or virtual/blended schools with high FRPM burden and SAT readiness context; return up to 10 school rows.,Show up to 10 charter or virtual schools with high meal-program burden and SAT context.,"db.school_profiles.aggregate([{""$project"":{""_id"":0,""cds"":""$school_profile.identity.cds_code"",""school"":""$school_profile.identity.name.value"",""county"":""$school_profile.district_context.county"",""district"":""$school_profile.district_context.district"",""status"":""$school_profile.identity.status.type"",""tags"":""$school_profile.programs.tags"",""grade_span"":""$school_profile.grade_span.span_key"",""frpm_years"":{""$objectToArray"":{""$ifNull"":[""$equity_panels.frpm_by_academic_year"",{}]}},""sat"":""$assessment_panels.readiness_summary""}},{""$unwind"":""$frpm_years""},{""$unwind"":""$frpm_years.v.grade_spans""},{""$match"":{""tags"":{""$in"":[""charter"",""virtual_or_blended""]},""sat.tested"":{""$gte"":10},""frpm_years.v.grade_spans.meal_programs.frpm_pct"":{""$gte"":0.5}}},{""$project"":{""cds"":1,""school"":1,""county"":1,""district"":1,""status"":1,""grade_span"":1,""academic_year"":""$frpm_years.k"",""frpm_grade_span"":""$frpm_years.v.grade_spans.grade_span"",""frpm_pct"":""$frpm_years.v.grade_spans.meal_programs.frpm_pct"",""enrollment"":""$frpm_years.v.grade_spans.enrollment"",""sat_tested"":""$sat.tested"",""sat_ge_1500_rate"":""$sat.ge_1500_rate"",""tags"":1}},{""$sort"":{""frpm_pct"":-1,""sat_ge_1500_rate"":1}},{""$limit"":10}])",sha256:98c4acc752a75d33e9b1c6d7097ec1f36301cdcb76f02b8a79ff5a1d25554719,sha256:e50863326b77c3adce74f57f88716d7be6d58e7d5222c38485924090d98356d0,$project>$unwind>$unwind>$match>$project>$sort>$limit,7,9,13.45
3590207,codebase_community,"For each user_reputation_profiles document, inspect the dynamic keys under activity.by_year and keep entries where dynamic key is one of ['2012'] under activity.by_year with context bucketed by badge_ecosystem.by_name.Scholar.count around 1, returning up to 10 documents.",Show up to 10 user_reputation_profiles rows where activity.by_year has dynamic key is one of ['2012'] under activity.by_year with context bucketed by badge_ecosystem.by_name.Scholar.count around 1.,"db.user_reputation_profiles.aggregate([{""$addFields"":{""native_context_bucket"":{""$cond"":[{""$gte"":[""$badge_ecosystem.by_name.Scholar.count"",1]},""badge_ecosystem.by_name.Scholar.count>= 1"",""badge_ecosystem.by_name.Scholar.count< 1""]}}},{""$project"":{""_id"":1,""native_context_bucket"":1,""native_dynamic_entries"":{""$objectToArray"":{""$ifNull"":[""$activity.by_year"",{}]}}}},{""$unwind"":""$native_dynamic_entries""},{""$match"":{""native_dynamic_entries.k"":{""$in"":[""2012""]}}},{""$group"":{""_id"":{""context"":""$native_context_bucket"",""native_key"":""$native_dynamic_entries.k""},""document_count"":{""$sum"":1}}},{""$sort"":{""_id"":1,""document_count"":-1}},{""$limit"":10}])",sha256:d9404166424304b2c342da8c3a0925655d8ea75d84f20c33ac81f806085e6552,sha256:1aad272b0242cfa3fb3cb7e060aa9f532359a89e81e6f88e7fb847ee016395ca,$addFields>$project>$unwind>$match>$group>$sort>$limit,7,13,14.85
3593603,financial,"Find shared accounts combining OWNER and DISPONENT roles, card ownership, loan state, and district context; return up to 19 rows.",List up to 19 shared-account relationship graphs with cards or loans attached.,"db.party_relationship_graphs.aggregate([{""$project"":{""account_id"":""$account.account_id"",""district_name"":""$account.district.name"",""region"":""$account.district.region"",""frequency"":""$account.frequency"",""loan_status_bucket"":""$loan_link.status_bucket"",""roles"":{""$objectToArray"":{""$ifNull"":[""$relationships.members_by_role"",{}]}},""owners"":{""$ifNull"":[""$relationships.members_by_role.OWNER"",[]]},""disponents"":{""$ifNull"":[""$relationships.members_by_role.DISPONENT"",[]]}}},{""$addFields"":{""owner_count"":{""$size"":""$owners""},""disponent_count"":{""$size"":""$disponents""},""owner_cards"":{""$sum"":{""$map"":{""input"":""$owners"",""as"":""m"",""in"":{""$size"":{""$ifNull"":[""$$m.cards"",[]]}}}}},""disponent_cards"":{""$sum"":{""$map"":{""input"":""$disponents"",""as"":""m"",""in"":{""$size"":{""$ifNull"":[""$$m.cards"",[]]}}}}},""role_keys"":{""$map"":{""input"":""$roles"",""as"":""r"",""in"":""$$r.k""}}}},{""$match"":{""disponent_count"":{""$gte"":1},""$or"":[{""owner_cards"":{""$gte"":1}},{""disponent_cards"":{""$gte"":1}},{""loan_status_bucket"":{""$ne"":""no_loan""}}]}},{""$project"":{""account_id"":1,""district_name"":1,""region"":1,""frequency"":1,""loan_status_bucket"":1,""role_keys"":1,""owner_count"":1,""disponent_count"":1,""owner_cards"":1,""disponent_cards"":1}},{""$sort"":{""disponent_cards"":-1,""owner_cards"":-1,""account_id"":1}},{""$limit"":19}])",sha256:aa3ff1f5abda360e706b12855b72a7d5099c41205596159e4af444f5d1848e26,sha256:fceb97a8605582ca318c094d68afa0292582cee7797e7905dae4881a8f913497,$project>$addFields>$match>$project>$sort>$limit,6,13,12.15
3604250,toxicology,"For each molecule_graphs document, inspect the dynamic keys under chemistry.elements_by_symbol and keep entries where dynamic key 'f' has atom_count at least 3 with context bucketed by identity.label_presence_state, returning up to 25 documents.",Show up to 25 molecule_graphs rows where chemistry.elements_by_symbol has dynamic key 'f' has atom_count at least 3 with context bucketed by identity.label_presence_state.,"db.molecule_graphs.aggregate([{""$addFields"":{""native_context_bucket"":{""$ifNull"":[""$identity.label_presence_state"",""missing""]}}},{""$project"":{""_id"":1,""native_context_bucket"":1,""native_dynamic_entries"":{""$objectToArray"":{""$ifNull"":[""$chemistry.elements_by_symbol"",{}]}}}},{""$unwind"":""$native_dynamic_entries""},{""$match"":{""native_dynamic_entries.k"":""f"",""native_dynamic_entries.v.atom_count"":{""$gte"":3}}},{""$project"":{""_id"":1,""atom_count"":""$native_dynamic_entries.v.atom_count"",""native_context_bucket"":1,""native_key"":""$native_dynamic_entries.k""}},{""$sort"":{""_id"":1,""atom_count"":-1}},{""$limit"":25}])",sha256:521a4933cbf5ad0955b7888ce52a4a48eff6d17c268a5b387ae8631b27fc4a61,sha256:1359a6593095a878bce889bae48df683d44295ab5d53e76c671e2270343e8c87,$addFields>$project>$unwind>$match>$project>$sort>$limit,7,9,12.2
3611659,card_games,"Among cards missing digital face metadata, find records whose materialized views still cover legality and translations; return up to 19 rows.",Show up to 19 cards with missing digital faces but strong legality and translation views.,"db.card_print_dossiers.aggregate([{""$project"":{""card_id"":1,""name"":""$print_identity.name"",""layout"":""$print_identity.layout"",""set_code"":""$print_identity.set.code"",""digital_faces_state"":""$schema_state.digital_faces"",""format_count"":""$legality.format_count"",""views"":{""$ifNull"":[""$views"",[]]}}},{""$addFields"":{""constructed_view"":{""$arrayElemAt"":[{""$filter"":{""input"":""$views"",""as"":""v"",""cond"":{""$eq"":[""$$v.view_id"",""constructed_legality""]}}},0]},""translation_view"":{""$arrayElemAt"":[{""$filter"":{""input"":""$views"",""as"":""v"",""cond"":{""$eq"":[""$$v.view_id"",""translation_catalog""]}}},0]}}},{""$addFields"":{""view_format_entries"":{""$objectToArray"":{""$ifNull"":[""$constructed_view.status_by_format"",{}]}},""view_language_entries"":{""$objectToArray"":{""$ifNull"":[""$translation_view.translations_by_language"",{}]}}}},{""$addFields"":{""view_format_count"":{""$size"":""$view_format_entries""},""view_language_count"":{""$size"":""$view_language_entries""},""legal_statuses"":{""$map"":{""input"":""$view_format_entries"",""as"":""f"",""in"":""$$f.v.status""}}}},{""$match"":{""digital_faces_state"":""missing"",""view_format_count"":{""$gte"":6},""view_language_count"":{""$gte"":5}}},{""$project"":{""card_id"":1,""name"":1,""layout"":1,""set_code"":1,""digital_faces_state"":1,""format_count"":1,""view_format_count"":1,""view_language_count"":1,""legal_statuses"":1,""sample_languages"":{""$slice"":[{""$map"":{""input"":""$view_language_entries"",""as"":""l"",""in"":""$$l.k""}},6]}}},{""$sort"":{""view_language_count"":-1,""view_format_count"":-1,""card_id"":1}},{""$limit"":19}])",sha256:2365da1cf68823c024016a3bf007a9dbd3684355721235da46b203481be5c18e,sha256:058aedbbe4fc986af0a0a55c6bde12c7887b3b0707fa2e6577aaaf94102759b0,$project>$addFields>$addFields>$addFields>$match>$project>$sort>$limit,8,14,15.3
3620985,debit_card_specializing,"For each fuel_product_payment_timeline document, inspect the dynamic keys under payment_timeline.by_date and keep entries where shape-preserving filter keeps dynamic keys ['2012-08-24', '2012-08-26'] under payment_timeline.by_date with context bucketed by market_reach.station_segments_by_segment.Premium.schema_state, returning up to 25 documents.","Show up to 25 fuel_product_payment_timeline rows where payment_timeline.by_date has shape-preserving filter keeps dynamic keys ['2012-08-24', '2012-08-26'] under payment_timeline.by_date with context bucketed by market_reach.station_segments_by_segment.Premium.schema_state.","db.fuel_product_payment_timeline.aggregate([{""$addFields"":{""native_context_bucket"":{""$ifNull"":[""$market_reach.station_segments_by_segment.Premium.schema_state"",""missing""]}}},{""$project"":{""_id"":1,""native_context_bucket"":1,""native_matching_dynamic_entries"":{""$filter"":{""as"":""entry"",""cond"":{""$in"":[""$$entry.k"",[""2012-08-24"",""2012-08-26""]]},""input"":{""$objectToArray"":{""$ifNull"":[""$payment_timeline.by_date"",{}]}}}}}},{""$match"":{""$expr"":{""$gt"":[{""$size"":""$native_matching_dynamic_entries""},0]}}},{""$project"":{""_id"":1,""native_context_bucket"":1,""native_matching_dynamic_entries"":1}},{""$sort"":{""_id"":1}},{""$limit"":25}])",sha256:4be4a1f3795b3e9612813d8bf24c5aea76d4ee589367ccf3cc1e0bde427227bd,sha256:12218600c4be116b70bf73ac7c2cd7af60b8bab88a2babe436d55f208f577f5b,$addFields>$project>$match>$project>$sort>$limit,6,12,11.8
3648783,debit_card_specializing,Summarize high-consumption customer-month buckets by segment and calendar month; return up to 22 rows.,Show up to 22 segment-month buckets with heavy customer fuel consumption.,"db.fuel_customer_spend_profiles.aggregate([{""$project"":{""segment"":""$identity.segment.value"",""customer_id"":""$identity.customer_id"",""months"":{""$objectToArray"":{""$ifNull"":[""$spend.consumption_by_month"",{}]}}}},{""$unwind"":""$months""},{""$match"":{""months.v.consumption_total"":{""$gte"":500}}},{""$group"":{""_id"":{""segment"":""$segment"",""year"":""$months.v.year"",""month_number"":""$months.v.month_number""},""customer_months"":{""$sum"":1},""consumption_total"":{""$sum"":""$months.v.consumption_total""},""transaction_gross_total"":{""$sum"":""$months.v.transaction_gross_total""}}},{""$project"":{""_id"":0,""segment"":""$_id.segment"",""year"":""$_id.year"",""month_number"":""$_id.month_number"",""customer_months"":1,""consumption_total"":1,""transaction_gross_total"":1}},{""$sort"":{""consumption_total"":-1}},{""$limit"":22}])",sha256:053341d71ea13a2e900337ea4f6bc542b9ddc8d758ccf4647d6130c7c19c0705,sha256:3f95885f24172aa892e95b1eb8fe04ce9954775d6c0c8a436a5e5fd9e3dc9236,$project>$unwind>$match>$group>$project>$sort>$limit,7,10,13.8
3658140,european_football_2,Filter each match_documents document's nested lineups.home.players array in place for nested lineups.home.players events have both event_type and event_time with context bucketed by identity.match_id around 4825. Return up to 10 documents.,Keep nested lineups.home.players events have both event_type and event_time with context bucketed by identity.match_id around 4825 nested lineups.home.players events for up to 10 match_documents items.,"db.match_documents.aggregate([{""$addFields"":{""native_context_bucket"":{""$cond"":[{""$gte"":[""$identity.match_id"",4825]},""identity.match_id>= 4825"",""identity.match_id< 4825""]}}},{""$addFields"":{""native_filtered_events"":{""$filter"":{""as"":""event"",""cond"":{""$and"":[{""$ne"":[""$$event.event_type"",null]},{""$ne"":[""$$event.event_time"",null]}]},""input"":{""$cond"":[{""$isArray"":""$lineups.home.players""},""$lineups.home.players"",[]]}}}}},{""$match"":{""$expr"":{""$gt"":[{""$size"":""$native_filtered_events""},0]}}},{""$project"":{""_id"":1,""lineups.home.players"":1,""native_context_bucket"":1,""native_event_count"":{""$size"":""$native_filtered_events""},""native_filtered_events"":1}},{""$sort"":{""_id"":1,""native_event_count"":-1}},{""$limit"":10}])",sha256:1ed96ab446ffd3bdda4398ddcacebc31df9e42dda0e999f588d479d648d1fd8a,sha256:ab86b65f543087022adae9edd849c5d32d760c2d018b6e1927c80918f0962fe3,$addFields>$addFields>$match>$project>$sort>$limit,6,14,11.7
3694059,european_football_2,Find team seasons with strong home wins but meaningful away-loss burden; return up to 19 season rows.,Show up to 19 teams that were strong at home but still vulnerable away.,"db.team_profiles.aggregate([{""$project"":{""team"":""$team.long_name"",""seasons"":{""$objectToArray"":{""$ifNull"":[""$matches_by_season"",{}]}}}},{""$unwind"":""$seasons""},{""$unwind"":""$seasons.v.fixtures""},{""$group"":{""_id"":{""team"":""$team"",""season"":""$seasons.k""},""played"":{""$sum"":1},""home_wins"":{""$sum"":{""$cond"":[{""$and"":[{""$eq"":[""$seasons.v.fixtures.side"",""home""]},{""$eq"":[""$seasons.v.fixtures.result_bucket"",""win""]}]},1,0]}},""away_losses"":{""$sum"":{""$cond"":[{""$and"":[{""$eq"":[""$seasons.v.fixtures.side"",""away""]},{""$eq"":[""$seasons.v.fixtures.result_bucket"",""loss""]}]},1,0]}},""goals_for"":{""$sum"":""$seasons.v.fixtures.score.for""},""goals_against"":{""$sum"":""$seasons.v.fixtures.score.against""}}},{""$addFields"":{""goal_diff"":{""$subtract"":[""$goals_for"",""$goals_against""]}}},{""$match"":{""played"":{""$gte"":30},""home_wins"":{""$gte"":8},""away_losses"":{""$gte"":5}}},{""$project"":{""_id"":0,""team"":""$_id.team"",""season"":""$_id.season"",""played"":1,""home_wins"":1,""away_losses"":1,""goals_for"":1,""goals_against"":1,""goal_diff"":1}},{""$sort"":{""home_wins"":-1,""away_losses"":-1}},{""$limit"":19}])",sha256:ec97e1b5adfd21c5f17918a84e2eb2c9b5fe40ce5e6d88fc65b2d31a370cc96d,sha256:8307a783d6d79c94f6d9bacb38fde9396fc23fc91be527c7ab9a57414025a384,$project>$unwind>$unwind>$group>$addFields>$match>$project>$sort>$limit,9,15,18.8
3737386,european_football_2,Find team seasons with strong home wins but meaningful away-loss burden; return up to 25 season rows.,Show up to 25 teams that were strong at home but still vulnerable away.,"db.team_profiles.aggregate([{""$project"":{""team"":""$team.long_name"",""seasons"":{""$objectToArray"":{""$ifNull"":[""$matches_by_season"",{}]}}}},{""$unwind"":""$seasons""},{""$unwind"":""$seasons.v.fixtures""},{""$group"":{""_id"":{""team"":""$team"",""season"":""$seasons.k""},""played"":{""$sum"":1},""home_wins"":{""$sum"":{""$cond"":[{""$and"":[{""$eq"":[""$seasons.v.fixtures.side"",""home""]},{""$eq"":[""$seasons.v.fixtures.result_bucket"",""win""]}]},1,0]}},""away_losses"":{""$sum"":{""$cond"":[{""$and"":[{""$eq"":[""$seasons.v.fixtures.side"",""away""]},{""$eq"":[""$seasons.v.fixtures.result_bucket"",""loss""]}]},1,0]}},""goals_for"":{""$sum"":""$seasons.v.fixtures.score.for""},""goals_against"":{""$sum"":""$seasons.v.fixtures.score.against""}}},{""$addFields"":{""goal_diff"":{""$subtract"":[""$goals_for"",""$goals_against""]}}},{""$match"":{""played"":{""$gte"":30},""home_wins"":{""$gte"":8},""away_losses"":{""$gte"":5}}},{""$project"":{""_id"":0,""team"":""$_id.team"",""season"":""$_id.season"",""played"":1,""home_wins"":1,""away_losses"":1,""goals_for"":1,""goals_against"":1,""goal_diff"":1}},{""$sort"":{""home_wins"":-1,""away_losses"":-1}},{""$limit"":25}])",sha256:5fca3ad6a03269b5515c3ebdb8c945f387261c5fa07fb6c42298797ccab9611a,sha256:8307a783d6d79c94f6d9bacb38fde9396fc23fc91be527c7ab9a57414025a384,$project>$unwind>$unwind>$group>$addFields>$match>$project>$sort>$limit,9,15,18.8
3739401,formula_1,Find point-scoring Formula 1 drivers with at least two pit stops and return up to 16 high-burden race entries.,Show up to 16 drivers who still scored despite multiple pit stops.,"db.race_weekends_v2.aggregate([{""$unwind"":""$sessions.race.entries""},{""$addFields"":{""pit_count"":{""$size"":{""$ifNull"":[""$sessions.race.entries.pit_stops"",[]]}},""pit_total_ms"":{""$sum"":{""$map"":{""input"":{""$ifNull"":[""$sessions.race.entries.pit_stops"",[]]},""as"":""p"",""in"":{""$ifNull"":[""$$p.duration_ms"",0]}}}}}},{""$match"":{""pit_count"":{""$gte"":2},""sessions.race.entries.finish.points"":{""$gt"":0}}},{""$project"":{""_id"":0,""season"":""$calendar.season_year"",""race"":""$calendar.race_name"",""driver"":""$sessions.race.entries.driver.name.display"",""constructor"":""$sessions.race.entries.constructor.name"",""finish_position"":""$sessions.race.entries.finish.position_order"",""points"":""$sessions.race.entries.finish.points"",""pit_count"":1,""pit_total_ms"":1}},{""$sort"":{""pit_count"":-1,""points"":-1}},{""$limit"":16}])",sha256:8e290a69f321ada584c6ab5a9ceb8f3e77a593b5997de355cdcff82f6c05997a,sha256:6f1991926f7fecf9c4e373c32c28dc7a94487c30fef9f5aa34e902224c56f0d7,$unwind>$addFields>$match>$project>$sort>$limit,6,12,12.25
3744568,financial,"For each counterparty_flow_profiles document, inspect the dynamic keys under flows_by_symbol and keep entries where dynamic key 'POJISTNE' has sample_edges.amount at least 617 with context bucketed by counterparty.bank_presence_state, returning up to 25 documents.",Show up to 25 counterparty_flow_profiles rows where flows_by_symbol has dynamic key 'POJISTNE' has sample_edges.amount at least 617 with context bucketed by counterparty.bank_presence_state.,"db.counterparty_flow_profiles.aggregate([{""$addFields"":{""native_context_bucket"":{""$ifNull"":[""$counterparty.bank_presence_state"",""missing""]}}},{""$project"":{""_id"":1,""native_context_bucket"":1,""native_dynamic_entries"":{""$objectToArray"":{""$ifNull"":[""$flows_by_symbol"",{}]}}}},{""$unwind"":""$native_dynamic_entries""},{""$match"":{""native_dynamic_entries.k"":""POJISTNE"",""native_dynamic_entries.v.sample_edges.amount"":{""$gte"":617}}},{""$project"":{""_id"":1,""native_context_bucket"":1,""native_key"":""$native_dynamic_entries.k"",""sample_edges.amount"":""$native_dynamic_entries.v.sample_edges.amount""}},{""$sort"":{""_id"":1,""sample_edges.amount"":-1}},{""$limit"":25}])",sha256:1c90baf44268cf9b7cb464214e8970e70afb39adbae4fdd603818071d4d526ff,sha256:46e02cda272f606ee143ee9024fac220aebb75f7dd6277efe75999144a806573,$addFields>$project>$unwind>$match>$project>$sort>$limit,7,9,12.2
3744951,financial,"For each account_ledgers document, inspect the dynamic keys under cashflow.activity_by_month and keep entries where dynamic key is one of ['1996-10'] under cashflow.activity_by_month with context bucketed by district_context.district_id around 15, returning up to 10 documents.",Show up to 10 account_ledgers rows where cashflow.activity_by_month has dynamic key is one of ['1996-10'] under cashflow.activity_by_month with context bucketed by district_context.district_id around 15.,"db.account_ledgers.aggregate([{""$addFields"":{""native_context_bucket"":{""$cond"":[{""$gte"":[""$district_context.district_id"",15]},""district_context.district_id>= 15"",""district_context.district_id< 15""]}}},{""$project"":{""_id"":1,""native_context_bucket"":1,""native_dynamic_entries"":{""$objectToArray"":{""$ifNull"":[""$cashflow.activity_by_month"",{}]}}}},{""$unwind"":""$native_dynamic_entries""},{""$match"":{""native_dynamic_entries.k"":{""$in"":[""1996-10""]}}},{""$group"":{""_id"":{""context"":""$native_context_bucket"",""native_key"":""$native_dynamic_entries.k""},""document_count"":{""$sum"":1}}},{""$sort"":{""_id"":1,""document_count"":-1}},{""$limit"":10}])",sha256:0ce8961ea3c640cd71790246c418fcf440ba9957415b2cc557f26a1d2f998ea5,sha256:1aad272b0242cfa3fb3cb7e060aa9f532359a89e81e6f88e7fb847ee016395ca,$addFields>$project>$unwind>$match>$group>$sort>$limit,7,13,14.85
3753002,european_football_2,"For each team_profiles document, inspect the dynamic keys under matches_by_season and keep entries where dynamic key '2014/2015' has fixtures.score.for at least 1 with context bucketed by schema_state.attributes, returning up to 25 documents.",Show up to 25 team_profiles rows where matches_by_season has dynamic key '2014/2015' has fixtures.score.for at least 1 with context bucketed by schema_state.attributes.,"db.team_profiles.aggregate([{""$addFields"":{""native_context_bucket"":{""$ifNull"":[""$schema_state.attributes"",""missing""]}}},{""$project"":{""_id"":1,""native_context_bucket"":1,""native_dynamic_entries"":{""$objectToArray"":{""$ifNull"":[""$matches_by_season"",{}]}}}},{""$unwind"":""$native_dynamic_entries""},{""$match"":{""native_dynamic_entries.k"":""2014/2015"",""native_dynamic_entries.v.fixtures.score.for"":{""$gte"":1}}},{""$project"":{""_id"":1,""fixtures.score.for"":""$native_dynamic_entries.v.fixtures.score.for"",""native_context_bucket"":1,""native_key"":""$native_dynamic_entries.k""}},{""$sort"":{""_id"":1,""fixtures.score.for"":-1}},{""$limit"":25}])",sha256:05472a0d39f84f5e0a52ca06189a1bca3c7154d6b2d286ac89f3576d1a5a5f28,sha256:1359a6593095a878bce889bae48df683d44295ab5d53e76c671e2270343e8c87,$addFields>$project>$unwind>$match>$project>$sort>$limit,7,9,12.2
3783201,financial,Cross monthly account activity with standing-order symbols and return up to 24 service-frequency/year groups.,Show up to 24 account activity groups tied to standing-order symbols.,"db.account_ledgers.aggregate([{""$project"":{""account_id"":""$identity.account_id"",""frequency"":""$identity.service_plan.frequency_key"",""district"":""$district_context.name"",""months"":{""$objectToArray"":{""$ifNull"":[""$cashflow.activity_by_month"",{}]}},""orders"":{""$objectToArray"":{""$ifNull"":[""$ledger.standing_orders_by_symbol"",{}]}}}},{""$unwind"":""$months""},{""$unwind"":""$orders""},{""$match"":{""months.v.entry_count"":{""$gte"":2}}},{""$group"":{""_id"":{""frequency"":""$frequency"",""symbol"":""$orders.k"",""year"":{""$substr"":[""$months.k"",0,4]}},""account_months"":{""$sum"":1},""credit_total"":{""$sum"":""$months.v.credit_amount""},""withdrawal_total"":{""$sum"":""$months.v.withdrawal_amount""}}},{""$project"":{""_id"":0,""service_frequency"":""$_id.frequency"",""standing_order_symbol"":""$_id.symbol"",""year"":""$_id.year"",""account_months"":1,""credit_total"":1,""withdrawal_total"":1}},{""$sort"":{""account_months"":-1}},{""$limit"":24}])",sha256:53a34fce2f3bf6947d9ad03a5035b9f239ff2c1cc0c5ee569524b37ed5b94168,sha256:51800df2637b117d7e5f9e314a4cd61fffa485f987b1db9e092a8ba8747e4988,$project>$unwind>$unwind>$match>$group>$project>$sort>$limit,8,11,16.4
3787813,financial,"For each account_ledgers document, inspect the dynamic keys under cashflow.activity_by_month and keep entries where dynamic key '1993-11' is present under cashflow.activity_by_month with context bucketed by ledger.balance_snapshot.latest around 22388, returning up to 10 documents.",Show up to 10 account_ledgers rows where cashflow.activity_by_month has dynamic key '1993-11' is present under cashflow.activity_by_month with context bucketed by ledger.balance_snapshot.latest around 22388.,"db.account_ledgers.aggregate([{""$addFields"":{""native_context_bucket"":{""$cond"":[{""$gte"":[""$ledger.balance_snapshot.latest"",22388]},""ledger.balance_snapshot.latest>= 22388"",""ledger.balance_snapshot.latest< 22388""]}}},{""$project"":{""_id"":1,""native_context_bucket"":1,""native_dynamic_entries"":{""$objectToArray"":{""$ifNull"":[""$cashflow.activity_by_month"",{}]}}}},{""$unwind"":""$native_dynamic_entries""},{""$match"":{""native_dynamic_entries.k"":""1993-11""}},{""$project"":{""_id"":1,""native_context_bucket"":1,""native_key"":""$native_dynamic_entries.k"",""native_value"":""$native_dynamic_entries.v""}},{""$sort"":{""_id"":1}},{""$limit"":10}])",sha256:7eb52285d404510e56a7608775e93bb09f4e502710ac268f075413e9bf8557b5,sha256:672b7c00a08e83d7ddbd17ea64485af845d74be6e6cb18c77afeb101604250b6,$addFields>$project>$unwind>$match>$project>$sort>$limit,7,10,12.55
3805913,card_games,"For each card_print_dossiers document, inspect the dynamic keys under rulings.by_year and keep entries where count dynamic rulings.by_year keys whose events.ruling_id reaches 27155 with context bucketed by localization.language_count around 3, returning up to 50 documents.",Show up to 50 card_print_dossiers rows where rulings.by_year has count dynamic rulings.by_year keys whose events.ruling_id reaches 27155 with context bucketed by localization.language_count around 3.,"db.card_print_dossiers.aggregate([{""$addFields"":{""native_context_bucket"":{""$cond"":[{""$gte"":[""$localization.language_count"",3]},""localization.language_count>= 3"",""localization.language_count< 3""]}}},{""$project"":{""_id"":1,""native_context_bucket"":1,""native_dynamic_entries"":{""$objectToArray"":{""$ifNull"":[""$rulings.by_year"",{}]}}}},{""$unwind"":""$native_dynamic_entries""},{""$group"":{""_id"":{""context"":""$native_context_bucket"",""native_key"":""$native_dynamic_entries.k""},""above_threshold"":{""$sum"":{""$cond"":[{""$gte"":[""$native_dynamic_entries.v.events.ruling_id"",27155]},1,0]}},""observed"":{""$sum"":1}}},{""$sort"":{""_id"":1,""above_threshold"":-1,""observed"":-1}},{""$limit"":50}])",sha256:2a49e97f5d8baf2623beb1cf87cbb3e5e9f39fae40c9817494a344fce831f968,sha256:f1d9212824995962ac444dad3685ddaabc664aa5072ec776df4b75c5925a7a98,$addFields>$project>$unwind>$group>$sort>$limit,6,11,13.15
